TEAM_ID,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,OWNER,GENERALMANAGER,HEADCOACH,CURRENT PLAYER 1,CURRENT PLAYER 2,CURRENT PLAYER 3,CURRENT PLAYER 4,CURRENT PLAYER 5,CURRENT PLAYER 6,CURRENT PLAYER 7,CURRENT PLAYER 8,CURRENT PLAYER 9,CURRENT PLAYER 10,CURRENT PLAYER 11,CURRENT PLAYER 12,CURRENT PLAYER 13,CURRENT PLAYER 14,CURRENT PLAYER 15,CURRENT PLAYER 16,CURRENT PLAYER 17,CURRENT PLAYER 18,CONFERENCE,DISTRICT,LOGO,CONFERENCE_LOGO
1610612749,MIL,Bucks,1968,Milwaukee,Fiserv Forum,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Grayson Allen,Giannis Antetokounmpo,Thanasis Antetokounmpo,Elijah Bryant,Pat Connaughton,Donte DiVincenzo,Mamadi Diakite,George Hill,Jrue Holiday,Rodney Hood,Justin Jackson,Rodions Kurucs,Brook Lopez,Jeff Teague,Khris Middleton,Jordan Nwora,Semi Ojeleye,Bobby Portis,EAST,Central,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-milwaukee-bucks-Logo.png?resize=300%2C300&ssl=1,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Eastern-Conference-Logo.png?resize=300%2C300&ssl=1
1610612750,MIN,Timberwolves,1989,Minnesota,Target Center,Glen Taylor,Scott Layden,Ryan Saunders,Malik Beasley,Patrick Beverley,Ed Davis,Anthony Edwards,Nathan Knight,Jake Layman,Jaden McDaniels,Jordan McLaughlin,Jaylen Nowell,Josh Okogie,Taurean Prince,Naz Reid,D'Angelo Russell,Karl-Anthony Towns,Jarred Vanderbilt,,,,WEST,Northwest,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-minnesota-timberwolves-Logo.png?resize=300%2C300&ssl=1,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Western-Conference-Logo.png?resize=300%2C300&ssl=1
1610612751,BKN,Nets,1976,Brooklyn,Barclays Center,Joe Tsai,Sean Marks,Kenny Atkinson,LaMarcus Aldridge,DeAndre' Bembry,Bruce Brown,Jevon Carter,Nicolas Claxton,Sekou Doumbouya,Kevin Durant,Blake Griffin,James Harden,Joe Harris,Kyrie Irving,Mike James,Alize Johnson,James Johnson,Tyler Johnson,Timothe Luwawu-Cabarrot,Patty Mills,Paul Millsap,EAST,Atlantic,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-brooklyn-nets-Logo.png?resize=300%2C300&ssl=1,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Eastern-Conference-Logo.png?resize=300%2C300&ssl=1
1610612752,NYK,Knicks,1946,New York,Madison Square Garden,Cablevision (James Dolan),Steve Mills,David Fizdale,Dwayne Bacon,RJ Barrett,Alec Burks,Evan Fournier,Taj Gibson,Quentin Grimes,Jared Harper,Kevin Knox II,Miles McBride,Nerlens Noel,Frank Ntilikina,Norvel Pelle,Theo Pinson,Immanuel Quickley,Julius Randle,Mitchell Robinson,Derrick Rose,Kemba Walker,EAST,Atlantic,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-new-york-knicks-Logo.png?resize=300%2C300&ssl=1,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Eastern-Conference-Logo.png?resize=300%2C300&ssl=1
1610612753,ORL,Magic,1989,Orlando,Amway Center,Rick DeVos,John Hammond,Steve Clifford,Cole Anthony,Mo Bamba,Ignas Brazdeikis,Wendell Carter Jr.,Michael Carter-Williams,Jeff Dowtin,James Ennis III,Markelle Fultz,Hassani Gravett,R.J. Hampton,Gary Harris,Jonathan Isaac,Robin Lopez,Chuma Okeke,Chasson Randle,Terrence Ross,Jalen Suggs,,EAST,Southeast,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-orlando-magic-Logo.png?resize=300%2C300&ssl=1,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Eastern-Conference-Logo.png?resize=300%2C300&ssl=1
1610612754,IND,Pacers,1976,Indiana,Bankers Life Fieldhouse,Herb Simon,Kevin Pritchard,Nate McMillan,Goga Bitadze,Oshae Brissett,Malcolm Brogdon,Torrey Craig,Chris Duarte,Justin Holiday,Isaiah Jackson,DeJon Jarreau,Jeremy Lamb,Caris LeVert,Kelan Martin,T.J. McConnell,Domantas Saboni,JaKarr Sampson,Cassius Stanley,Edmond Sumner,Myles Turner,T.J. Warren,EAST,Central,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-indiana-pacers-Logo.png?resize=300%2C300&ssl=1,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Eastern-Conference-Logo.png?resize=300%2C300&ssl=1
1610612755,PHI,76ers,1949,Philadelphia,Wells Fargo Center,Joshua Harris,Elton Brand,Brett Brown,Gary Clark,Seth Curry,Andre Drummond,Joel Embiid,Danny Green,Tobias Harris,Aaron Henry,Isaiah Joe,Furkan Korkmaz,Tyrese Maxey,Shake Milton,Georges Niang,Filip Petrusev,Paul Reed,Grant Riller,Mike Scott,Ben Simmons,Matisse Thybulle,EAST,Atlantic,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-philadelphia-76ers-Logo.png?resize=300%2C300&ssl=1,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Eastern-Conference-Logo.png?resize=300%2C300&ssl=1
1610612756,PHX,Suns,1968,Phoenix,Talking Stick Resort Arena,Robert Sarver,James Jones,Monty Williams,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Langston Galloway,Chandler Hutchison,Cameron Johnson,Frank Kaminsky,JaVale McGee,E'Twaun Moore,Abdel Nader,Chris Paul,Cameron Payne,Elfrid Payton,Dario Saric,Landry Shamet,Jalen Smith,,WEST,Pacific,https://i0.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-phoenix-suns-Logo.png?resize=300%2C300&ssl=1,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Western-Conference-Logo.png?resize=300%2C300&ssl=1
1610612757,POR,Trail Blazers,1970,Portland,Moda Center,Paul Allen,Neil Olshey,Terry Stotts,Keljin Blevins,Greg Brown,Robert Covington,CJ Elleby,Harry Giles III,Rondae Hollis-Jefferson,T.J. Leaf,Damian Lillard,Nassir Little,CJ McCollum,Ben McLemore,Larry Nance Jr.,Jusuf Nurkic,Norman Powell,Anfernee Simons,Tony Snell,Trendon Watford,Cody Zeller,WEST,Northwest,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-portland-trail-blazers-Logo.png?resize=300%2C300&ssl=1,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Western-Conference-Logo.png?resize=300%2C300&ssl=1
1610612758,SAC,Kings,1948,Sacramento,Golden 1 Center,Vivek Ranadive,Vlade Divac,Luke Walton,Marvin Bagley III,Harrison Barnes,Terence Davis,De'Aaron Fox,Tyrese Haliburton,Maurice Harkless,Buddy Hield,Richaun Holmes,Justin James,Damian Jones,Louis King,Alex Len,Chimezie Metu,Davion Mitchell,Neemias Queta,Jahmi'us Ramsey,Tristan Thompson,Robert Woodard II,WEST,Pacific,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-sacramento-kings-Logo.png?resize=300%2C300&ssl=1,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Western-Conference-Logo.png?resize=300%2C300&ssl=1
1610612759,SAS,Spurs,1976,San Antonio,AT&T Center,Peter Holt,Brian Wright,Gregg Popovich,Al-Farouq Aminu,Keita Bates-Diop,Zach Collins,Drew Eubanks,Bryn Forbes,DaQuan Jeffries,Keldon Johnson,Tre Jones,Thaddeus Young,Doug McDermott,Dejounte Murray,Jakob Poeltl,Joshua Primo,Luka Samanic,Devin Vassell,Lonnie Walker IV,Derrick White,Joe Wieskamp,WEST,Southwest,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-san-antonio-spurs-Logo.png?resize=300%2C300&ssl=1,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Western-Conference-Logo.png?resize=300%2C300&ssl=1
